# time(s), pre_rot_eig1, pre_rot_eig2, pre_rot_eig3, pre_trans_eig1, pre_trans_eig2, pre_trans_eig3, post_rot_eig1, post_rot_eig2, post_rot_eig3, post_trans_eig1, post_trans_eig2, post_trans_eig3, cam_used[0], cam_used[1], level0_avg_total_rows
1618223076.041953802, 0.000000019, 0.000000041, 0.000000089, 0.000000284, 0.000001059, 0.000001444, 0.000000019, 0.000000041, 0.000000089, 0.000000284, 0.000001059, 0.000001444, 1, 1, 62.000000000
1618223076.075286627, 0.000000073, 0.000000109, 0.000000182, 0.000000551, 0.000001369, 0.000001508, 0.000000073, 0.000000109, 0.000000182, 0.000000551, 0.000001369, 0.000001508, 1, 1, 69.000000000
1618223076.108619452, 0.000000129, 0.000000206, 0.000000246, 0.000001002, 0.000001142, 0.000001677, 0.000000129, 0.000000206, 0.000000246, 0.000001002, 0.000001142, 0.000001677, 1, 1, 69.000000000
1618223076.141952276, 0.000000083, 0.000000187, 0.000000497, 0.000001325, 0.000001637, 0.000002299, 0.000000083, 0.000000187, 0.000000497, 0.000001325, 0.000001637, 0.000002299, 1, 1, 50.000000000
1618223076.208618164, 0.000000052, 0.000000099, 0.000000140, 0.000000760, 0.000001064, 0.000001704, 0.000000052, 0.000000099, 0.000000140, 0.000000760, 0.000001064, 0.000001704, 1, 1, 61.000000000
1618223076.241951227, 0.000000124, 0.000000208, 0.000000381, 0.000001049, 0.000001370, 0.000002107, 0.000000124, 0.000000208, 0.000000381, 0.000001049, 0.000001370, 0.000002107, 1, 1, 54.000000000
1618223076.275284052, 0.000000135, 0.000000190, 0.000000243, 0.000001478, 0.000001840, 0.000002312, 0.000000135, 0.000000190, 0.000000243, 0.000001478, 0.000001840, 0.000002312, 1, 1, 65.000000000
1618223076.308616877, 0.000000245, 0.000000360, 0.000000386, 0.000001424, 0.000001811, 0.000002507, 0.000000245, 0.000000360, 0.000000386, 0.000001424, 0.000001811, 0.000002507, 1, 1, 66.000000000
1618223076.341949940, 0.000000178, 0.000000253, 0.000000554, 0.000001694, 0.000001805, 0.000002802, 0.000000178, 0.000000253, 0.000000554, 0.000001694, 0.000001805, 0.000002802, 1, 1, 64.000000000
1618223076.408615589, 0.000000045, 0.000000078, 0.000000122, 0.000000727, 0.000001032, 0.000001863, 0.000000045, 0.000000078, 0.000000122, 0.000000727, 0.000001032, 0.000001863, 1, 1, 62.000000000
1618223076.441948414, 0.000000085, 0.000000176, 0.000000364, 0.000000979, 0.000001224, 0.000002238, 0.000000085, 0.000000176, 0.000000364, 0.000000979, 0.000001224, 0.000002238, 1, 1, 77.000000000
