# time(s), pre_rot_eig1, pre_rot_eig2, pre_rot_eig3, pre_trans_eig1, pre_trans_eig2, pre_trans_eig3, post_rot_eig1, post_rot_eig2, post_rot_eig3, post_trans_eig1, post_trans_eig2, post_trans_eig3, cam_used[0], cam_used[1], cam_used[2], cam_used[3], level0_avg_total_rows
1646305755.951777220, 0.000000003, 0.000000011, 0.000000023, 0.000000204, 0.000000609, 0.000001018, 0.000000003, 0.000000011, 0.000000023, 0.000000201, 0.000000576, 0.000000976, 1, 1, 1, 1, 186.000000000
1646305756.101769209, 0.000000005, 0.000000013, 0.000000034, 0.000000262, 0.000000587, 0.000000870, 0.000000005, 0.000000012, 0.000000034, 0.000000259, 0.000000551, 0.000000825, 1, 1, 1, 1, 183.000000000
1646305756.451755524, 0.000000001, 0.000000002, 0.000000005, 0.000000027, 0.000000027, 0.000000179, 0.000000001, 0.000000002, 0.000000005, 0.000000027, 0.000000027, 0.000000175, 1, 1, 1, 1, 168.000000000
1646305756.776742935, 0.000000002, 0.000000006, 0.000000022, 0.000000165, 0.000000405, 0.000000494, 0.000000002, 0.000000006, 0.000000022, 0.000000164, 0.000000394, 0.000000488, 1, 1, 1, 1, 124.000000000
1646305756.876739025, 0.000000007, 0.000000013, 0.000000065, 0.000000380, 0.000000536, 0.000000744, 0.000000007, 0.000000012, 0.000000065, 0.000000375, 0.000000523, 0.000000732, 1, 1, 1, 1, 147.000000000
1646305757.251724482, 0.000000002, 0.000000005, 0.000000027, 0.000000224, 0.000000433, 0.000000487, 0.000000002, 0.000000005, 0.000000026, 0.000000219, 0.000000416, 0.000000481, 1, 1, 1, 1, 126.000000000
1646305757.401718616, 0.000000006, 0.000000012, 0.000000082, 0.000000570, 0.000000618, 0.000000855, 0.000000006, 0.000000012, 0.000000080, 0.000000553, 0.000000593, 0.000000831, 1, 1, 1, 1, 119.000000000
1646305757.901699066, 0.000000001, 0.000000002, 0.000000011, 0.000000022, 0.000000082, 0.000000195, 0.000000001, 0.000000002, 0.000000011, 0.000000022, 0.000000082, 0.000000195, 1, 1, 1, 1, 90.000000000
1646305758.851662159, 0.000000001, 0.000000003, 0.000000005, 0.000000019, 0.000000052, 0.000000174, 0.000000001, 0.000000003, 0.000000005, 0.000000019, 0.000000052, 0.000000174, 1, 1, 1, 1, 70.000000000
1646305759.051654339, 0.000000032, 0.000000111, 0.000000149, 0.000001021, 0.000001810, 0.000004699, 0.000000032, 0.000000103, 0.000000136, 0.000000950, 0.000001532, 0.000004301, 1, 1, 1, 0, 114.000000000
1646305759.901621103, 0.000000019, 0.000000093, 0.000000327, 0.000000469, 0.000001185, 0.000004339, 0.000000019, 0.000000091, 0.000000317, 0.000000458, 0.000000845, 0.000003933, 0, 1, 1, 1, 45.000000000
1646305760.151607513, 0.000000007, 0.000000032, 0.000000059, 0.000000035, 0.000000091, 0.000001387, 0.000000007, 0.000000032, 0.000000058, 0.000000035, 0.000000091, 0.000001320, 1, 1, 1, 1, 145.000000000
1646305760.301601648, 0.000000025, 0.000000099, 0.000000302, 0.000000741, 0.000001842, 0.000002202, 0.000000025, 0.000000096, 0.000000289, 0.000000714, 0.000001704, 0.000001920, 1, 1, 1, 1, 249.000000000
1646305760.601589918, 0.000000003, 0.000000014, 0.000000021, 0.000000023, 0.000000070, 0.000000205, 0.000000003, 0.000000014, 0.000000021, 0.000000023, 0.000000070, 0.000000203, 1, 1, 1, 1, 243.000000000
